Entity,Code,Year,Gas price
Netherlands TTF,,2005,19.815226
Netherlands TTF,,2006,24.761738
Netherlands TTF,,2007,20.120098
Netherlands TTF,,2008,36.420235
Netherlands TTF,,2009,16.76891
Netherlands TTF,,2010,22.811165
Netherlands TTF,,2011,31.332268
Netherlands TTF,,2012,31.954857
Netherlands TTF,,2013,35.892727
Netherlands TTF,,2014,27.671402
Netherlands TTF,,2015,22.003147
Netherlands TTF,,2016,15.448935
Netherlands TTF,,2017,19.48754
Netherlands TTF,,2018,26.894014
Netherlands TTF,,2019,15.214883
Netherlands TTF,,2020,10.688031
Netherlands TTF,,2021,53.44633
Netherlands TTF,,2022,126.55869
Netherlands TTF,,2023,43.893345
UK NBP,,1996,6.3663297
UK NBP,,1997,6.676621
UK NBP,,1998,6.362547
UK NBP,,1999,5.3874702
UK NBP,,2000,9.248843
UK NBP,,2001,10.831269
UK NBP,,2002,8.094857
UK NBP,,2003,11.36634
UK NBP,,2004,15.207219
UK NBP,,2005,24.253561
UK NBP,,2006,25.554327
UK NBP,,2007,20.416153
UK NBP,,2008,36.377598
UK NBP,,2009,16.34852
UK NBP,,2010,22.241924
UK NBP,,2011,30.71412
UK NBP,,2012,32.14525
UK NBP,,2013,36.156372
UK NBP,,2014,28.03155
UK NBP,,2015,22.259644
UK NBP,,2016,15.856124
UK NBP,,2017,19.713156
UK NBP,,2018,27.204098
UK NBP,,2019,15.227805
UK NBP,,2020,10.828521
UK NBP,,2021,52.71504
UK NBP,,2022,83.75966
UK NBP,,2023,41.965164
US Henry Hub,,1989,5.788696
US Henry Hub,,1990,5.5896735
US Henry Hub,,1991,5.0722165
US Henry Hub,,1992,6.044581
US Henry Hub,,1993,7.23587
US Henry Hub,,1994,6.5506654
US Henry Hub,,1995,5.754577
US Henry Hub,,1996,9.405209
US Henry Hub,,1997,8.614807
US Henry Hub,,1998,7.11077
US Henry Hub,,1999,7.7305813
US Henry Hub,,2000,14.417719
US Henry Hub,,2001,13.880359
US Henry Hub,,2002,11.364154
US Henry Hub,,2003,19.191402
US Henry Hub,,2004,19.956217
US Henry Hub,,2005,30.03964
US Henry Hub,,2006,22.996952
US Henry Hub,,2007,23.699545
US Henry Hub,,2008,30.169886
US Henry Hub,,2009,13.372311
US Henry Hub,,2010,14.94087
US Henry Hub,,2011,13.609527
US Henry Hub,,2012,9.374386
US Henry Hub,,2013,12.692318
US Henry Hub,,2014,14.795335
US Henry Hub,,2015,8.889641
US Henry Hub,,2016,9.599705
US Henry Hub,,2017,10.109982
US Henry Hub,,2018,10.630999
US Henry Hub,,2019,8.580218
US Henry Hub,,2020,6.7758794
US Henry Hub,,2021,13.088934
US Henry Hub,,2022,21.755375
US Henry Hub,,2023,8.626681
Zeebrugge,,2005,24.255907
Zeebrugge,,2006,26.023232
Zeebrugge,,2007,20.780937
Zeebrugge,,2008,36.791466
Zeebrugge,,2009,16.52303
Zeebrugge,,2010,22.568417
Zeebrugge,,2011,31.199968
Zeebrugge,,2012,32.02866
Zeebrugge,,2013,35.8824
Zeebrugge,,2014,27.73037
Zeebrugge,,2015,21.854782
Zeebrugge,,2016,15.36962
Zeebrugge,,2017,19.319613
Zeebrugge,,2018,26.736366
Zeebrugge,,2019,14.965981
Zeebrugge,,2020,10.476316
Zeebrugge,,2021,53.11279
Zeebrugge,,2022,105.62374
Zeebrugge,,2023,43.308968